unit_id,tries_amount,questionnaire_amount,dimensions_amount,document_amount,current_try,q_0_age_question,q_0_age_answer,q_0_age_value,q_0_school_question,q_0_school_answer,q_0_school_value,q_0_taxes_question,q_0_taxes_answer,q_0_taxes_value,q_0_political_views_question,q_0_political_views_answer,q_0_political_views_value,q_0_consideration_question,q_0_consideration_answer,q_0_consideration_value,q_0_southern_border_question,q_0_southern_border_answer,q_0_southern_border_value,q_0_environment_question,q_0_environment_answer,q_0_environment_value,q_0_time_elapsed,q_0_accesses,q_1_farmers_question,q_1_farmers_answer,q_1_farmers_value,q_1_time_elapsed,q_1_accesses,q_2_marks_question,q_2_marks_answer,q_2_marks_value,q_2_time_elapsed,q_2_accesses,q_3_athletics_question,q_3_athletics_answer,q_3_athletics_value,q_3_time_elapsed,q_3_accesses,doc_index,doc_name,doc_statement,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_value,doc_ground_truth_label,doc_truthfulness_value,doc_truthfulness_label,doc_truthfulness_justification,doc_truthfulness_url,doc_accesses,doc_time_elapsed
unit_0,10,4,1,8,4,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,"Some postgraduate or professional schooling, no postgraduate degree",4.0,"Last year what was your total family income from all sources, before taxes?","40,000 to less than 50,000",4.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,17.51,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,17.85,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,5.0,51.94,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,59.52,1,0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0,pants-on-fire,3,half-true,"Youâre in control of how much you spend on a boost or promotionâweâll never charge more than the budget you select. The budget you select is the per-day price of boosting a post. Depending on the audience and budget you choose, you may or may not reach the maximum amount of your budget each day.While Twitter started labeling some of the presidentâs inflammatory messages, Facebookâs chief executive, Mark Zuckerberg, has said his company should leave them alone",https://www.nytimes.com/2020/06/01/technology/facebook-employee-protest-trump.html,1.0,
unit_0,10,4,1,8,4,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,"Some postgraduate or professional schooling, no postgraduate degree",4.0,"Last year what was your total family income from all sources, before taxes?","40,000 to less than 50,000",4.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,17.51,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,17.85,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,5.0,51.94,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,59.52,1,1,true_doc1,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,Facebook Post,2020-02-04,Facebook Posts,5,true,3,half-true,"April 23, 2020 Update: Because we canât come together in person for F8 this year, Mark Zuckerberg and other Facebook leaders will do a series of updates throughout the year to share what weâre working on to help people connect, as well as updates to our developer products, where applicabl",https://developers.facebook.com/blog/post/2020/02/27/important-f8-2020-update/,1.0,216.47
unit_0,10,4,1,8,4,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,"Some postgraduate or professional schooling, no postgraduate degree",4.0,"Last year what was your total family income from all sources, before taxes?","40,000 to less than 50,000",4.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,17.51,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,17.85,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,5.0,51.94,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,59.52,1,2,LOW,Injecting Bleach Could Be a Cure for COVID19,Donald Trump,2020-04-23,Press Conference,0,pants-on-fire,1,false,"Republican presidential front-runner Donald Trump may have failed to disavow the Ku Klux Klan in late February, but heâll have you know he is not racist. In fact, he claims to be âthe least racist person that you have ever met,â and last summer he pulled out the old standby about not having a racist bone in his body",https://www.huffpost.com/entry/donald-trump-racist-examples_n_56d47177e4b03260bf777e83,1.0,265.04
unit_0,10,4,1,8,4,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,"Some postgraduate or professional schooling, no postgraduate degree",4.0,"Last year what was your total family income from all sources, before taxes?","40,000 to less than 50,000",4.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,17.51,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,17.85,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,5.0,51.94,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,59.52,1,3,mostly-false_doc8,Bill Gates and other globalists in collaboration with pharmaceutical companies are reportedly working to push tracking bracelets andinvisible tattoosâ to monitor Americans during an impending lockdown,Instagram Post,2020-18-03,Instagram Posts,2,mostly-false,3,half-true,"n August 2018, the fifth annual Shaping Our Appalachian Region Summit, a social services and jobs fair, was held in Pikeville, Ky. Among the booths set up by local universities and health-care companies was a table from Queer Appalachia, a wildly popular Instagram account",https://www.washingtonpost.com/magazine/2020/08/03/popular-instagram-account-raises-funds-lgbtq-people-appalachia-its-not-clear-where-those-donations-go/?arc404=true,1.0,126.06
unit_0,10,4,1,8,4,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,"Some postgraduate or professional schooling, no postgraduate degree",4.0,"Last year what was your total family income from all sources, before taxes?","40,000 to less than 50,000",4.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,17.51,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,17.85,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,5.0,51.94,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,59.52,1,4,false_doc3,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,Facebook Post,2020-23-03,Chain Message,1,false,3,half-true,"Ever since the World Health Organization (WHO) declared COVID-19 a global public health emergency, weâve been working to connect people to accurate information and taking aggressive steps to stop misinformation and harmful content from spreading. Today weâre sharing an update on these efforts across our app",https://about.fb.com/news/2020/03/combating-covid-19-misinformation/,4.0,133.57
unit_0,10,4,1,8,4,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,"Some postgraduate or professional schooling, no postgraduate degree",4.0,"Last year what was your total family income from all sources, before taxes?","40,000 to less than 50,000",4.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,17.51,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,17.85,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,5.0,51.94,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,59.52,1,5,HIGH,Yes We can,Barack Obama,2008-01-08,Facebook Post,5,true,3,half-true,"Obama said this in reference to the point that many people in America would like life to go back to ""normal"" in the face of the coronavirus pandemic. But, he wrote, ""being treated differently on account of race is tragically, painfully, maddeningly 'normal'"" for millions of Americans.",https://abcnews.go.com/Politics/president-barack-obama-issues-statement-george-floyd/story?id=70954996,5.0,167.39
unit_0,10,4,1,8,4,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,"Some postgraduate or professional schooling, no postgraduate degree",4.0,"Last year what was your total family income from all sources, before taxes?","40,000 to less than 50,000",4.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,17.51,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,17.85,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,5.0,51.94,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,59.52,1,6,half-true_doc2,North Carolinahospital beds are typically 85 full across the stateâ,Jeff Jackson,2020-19-03,Tweet,3,half-true,1,false,"Jackson apologized for an Instagram post that attributed a quote to Adolf Hitler saying, âthe Jews will blackmail America.â He did not indicate in the apology whether he would back up his words with any action.Meanwhile, Jackson is working out in Tampa with teammate Miles Sanders, based on a video posted by Sanders.",https://profootballtalk.nbcsports.com/2020/07/07/desean-jackson-has-talked-to-howie-roseman-will-talk-with-jeff-lurie/,5.0,60.61
unit_0,10,4,1,8,4,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,"Some postgraduate or professional schooling, no postgraduate degree",4.0,"Last year what was your total family income from all sources, before taxes?","40,000 to less than 50,000",4.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,17.51,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,17.85,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,5.0,51.94,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,59.52,1,7,mostly-true_doc2,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,Facebook Post,2020-20-03,Facebook Posts,4,mostly-true,3,half-true,"The NAACP strongly condemns any offensive language or imagery and stands against all forms of hate speech and anti-Semitism.I stand with all members of the Jewish faith in the fight for social justice, and I intend to use this opportunity for thoughtful conversations with both the Black and Jewish communities.â",https://www.naacp.org/latest/statement-philadelphia-naacp-president-rodney-muhammad-regarding-facebook-post/,4.0,57.89
unit_1,10,4,1,8,1,What is your age range?,19-25,1.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","100,000 to less than 150,000",7.0,"In general, would you describe your political views as",Liberal,3.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,21.6,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,6.23,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,5.0,4.03,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,7.84,1,0,mostly-false_doc8,Bill Gates and other globalists in collaboration with pharmaceutical companies are reportedly working to push tracking bracelets andinvisible tattoosâ to monitor Americans during an impending lockdown,Instagram Post,2020-18-03,Instagram Posts,2,mostly-false,5,true,"simple, fun & creative way to capture, edit & share photos, videos & messages with friends & family.",https://www.instagram.com/,1.0,97.02
unit_1,10,4,1,8,1,What is your age range?,19-25,1.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","100,000 to less than 150,000",7.0,"In general, would you describe your political views as",Liberal,3.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,21.6,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,6.23,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,5.0,4.03,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,7.84,1,1,false_doc3,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,Facebook Post,2020-23-03,Chain Message,1,false,4,mostly-true,ovel coronavirus (nCoV) is a provisional name given to coronaviruses of medical significance before a permanent name is decided upon.,https://en.wikipedia.org/wiki/Novel_coronavirus,1.0,482.72
