"statement_id","statement","speaker","party","year","label"
"6121.json","Assembly Democrats wanted to raise the gas tax by 24 billion We said no to thatTheyre down on the ground Theyre sweating Theyre twitching Its ugly cause I keep saying no","Chris Christie","REP",2012,"barely-true"
"2550.json","Says Rep Jim Weidner proposed a bill taking away health care for 80000 of Oregons children","Blue Oregon","DEM",2010,"true"
"9074.json","Florida ranks first in the nation for access to free prekindergarten","Rick Scott","REP",2014,"mostly-true"
"8476.json","FACT Nothing in Obamacare forces people out of their health plans","Valerie Jarrett","DEM",2013,"false"
"2120.json","Says his office has already recovered over 2 billion from Wall Street for the workers retirees and investors who were harmed","Richard Cordray","DEM",2010,"half-true"
"6288.json","Says Obamacare is the largest middleclass tax increase in history","Jeff Fitzgerald","REP",2012,"pants-on-fire"
"2898.json","In the fall of 2009 only 21 percent of Texas high school graduates enrolled in a fouryear public university","Todd Staples","REP",2010,"half-true"
"10631.json","Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan","William Obrien","REP",2015,"false"
"5641.json","Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions","Graeme Zielinski","DEM",2012,"pants-on-fire"
"5380.json","Says in his years as a Texas legislator we passed three pay increases for teachers and provided them with health insurance","Paul Sadler","DEM",2012,"mostly-true"
"3849.json","Says this months special session will cost the state 27300 a day just for legislators daily living expenses","Jason Isaac","REP",2011,"true"
"4739.json","Youre paying forstate Sen Diane Allens health care and she took yours away","Carl Lewis","DEM",2011,"barely-true"
"3829.json","Under Gov Bob McDonnell more jobs have been lost than created in Southside and Southwest Virginia","Ward Armstrong","DEM",2011,"false"
"7391.json","Ohio companies export more goods and services globally than 41 other states","Keith Faber","REP",2013,"true"
"7313.json","State revenue projections have missed the mark month after month","Steve Henson","DEM",2013,"half-true"
"5337.json","Statistics bear out that any time a country a state makes more restrictive abortion laws  fatalities go up and abortions actually increase","Nickie Antonio","DEM",2012,"barely-true"
"9563.json","We in this state saw more job creation in the last three years since Ive been governor than you saw in the whole eight years of Doyles time as governor","Scott Walker","REP",2014,"mostly-true"
"7440.json","The National Science Foundation spent 12 million paying seniors to play World of Warcraft to study the impact it had on their brain","Eric Cantor","REP",2013,"pants-on-fire"
"2643.json","Scientists have shown us that the greater possibilities the real science movement has been with adult stem cell research It has not been with embryonic","Scott Walker","REP",2010,"false"
"2415.json","Says the Austin chapter of the League of Women Voters has no Republicans among elected officers or on its debate committee","Steve Munisteri","REP",2010,"half-true"
"6706.json","In Cuyahoga County  56 percent of weekend voters in 2008 were African American while adult African Americans comprise 28 percent of the county population","Marcia Fudge","DEM",2012,"true"
"5211.json","More than one in five of veterans aged 20 to 24 cant find a job to support their family or to ease the transition to civilian life","Sherrod Brown","DEM",2012,"mostly-true"
"3329.json","The stimulus bill promised to keep unemployment under 8","George Allen","REP",2011,"barely-true"
"6324.json","When Josh Mandel claims to have accepted three debates with Sen Sherrod Brown he is lying He has accepted ZERO proposed debates","Sherrod Brown","DEM",2012,"pants-on-fire"
"4208.json","This is the first time in the history that weve had the raising of a debt limit also with spending cuts","Allen West","REP",2011,"false"
"10579.json","More than any Republican governor in the 2014 elections I took a higher percentage of the Republican voteand yet I also carried independents by 12 points","Scott Walker","REP",2015,"mostly-true"
"7126.json","Says in January 1992 George H W Bush probably had a 90 percent or even higher approval rating after the first Gulf War","John Wisniewski","DEM",2012,"barely-true"
"8768.json","Scott Walkers income tax plan is a tax hike It increases taxes for nearly 80 of the people in the state","Mary Burke","DEM",2014,"pants-on-fire"
