unit_id,tries_amount,questionnaire_amount,dimensions_amount,document_amount,current_try,q_0_age_question,q_0_age_answer,q_0_age_value,q_0_school_question,q_0_school_answer,q_0_school_value,q_0_taxes_question,q_0_taxes_answer,q_0_taxes_value,q_0_political_views_question,q_0_political_views_answer,q_0_political_views_value,q_0_consideration_question,q_0_consideration_answer,q_0_consideration_value,q_0_southern_border_question,q_0_southern_border_answer,q_0_southern_border_value,q_0_environment_question,q_0_environment_answer,q_0_environment_value,q_0_time_elapsed,q_0_accesses,q_1_farmers_question,q_1_farmers_answer,q_1_farmers_value,q_1_time_elapsed,q_1_accesses,q_2_marks_question,q_2_marks_answer,q_2_marks_value,q_2_time_elapsed,q_2_accesses,q_3_athletics_question,q_3_athletics_answer,q_3_athletics_value,q_3_time_elapsed,q_3_accesses,doc_index,doc_name,doc_statement,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_value,doc_ground_truth_label,doc_truthfulness_value,doc_truthfulness_label,doc_truthfulness_justification,doc_truthfulness_url,doc_accesses,doc_time_elapsed
unit_3,10,4,1,8,1,What is your age range?,19-25,1.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Conservative,1.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,129.31,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,99.39,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,9.0,123.58,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,329.1,1,0,LOW,Injecting Bleach Could Be a Cure for COVID19,Donald Trump,2020-04-23,Press Conference,0,pants-on-fire,4,mostly-true,This is not fake news: Trump actually suggested that injecting bleach could be a cure for COVID-19,https://reason.com/2020/04/24/its-not-fake-news-trump-did-actually-suggest-that-injecting-bleach-could-be-a-cure-for-covid-19/,1.0,755.58
unit_3,10,4,1,8,1,What is your age range?,19-25,1.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Conservative,1.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,129.31,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,99.39,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,9.0,123.58,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,329.1,1,1,half-true_doc2,North Carolinahospital beds are typically 85 full across the stateâ,Jeff Jackson,2020-19-03,Tweet,3,half-true,3,half-true,"Records show that NC hospitals are, on average throughout the year, between 60-to-75% full.However, medical professionals say Jackson is right that hospitals operate at maximum capacity during certain parts of the year, such as flu season",https://www.wral.com/coronavirus/fact-check-before-coronavirus-were-nc-hospitals-typically-85-full/19032402/,1.0,324.13
unit_3,10,4,1,8,1,What is your age range?,19-25,1.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Conservative,1.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,129.31,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,99.39,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,9.0,123.58,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,329.1,1,2,true_doc1,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,Facebook Post,2020-02-04,Facebook Posts,5,true,4,mostly-true,"The State Department announced Feb. 7 that it had âfacilitated the transportation of nearly 17.8 tons of donated medical supplies to the Chinese people.Yes, US shipped donated personal protective equipment to China in February.",https://www.instagram.com/p/B7WxTalHY2x/,1.0,130.62
unit_3,10,4,1,8,1,What is your age range?,19-25,1.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Conservative,1.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,129.31,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,99.39,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,9.0,123.58,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,329.1,1,3,HIGH,Yes We can,Barack Obama,2008-01-08,Facebook Post,5,true,5,true,President-elect Barack Obama spoke to the world from his home city of Chicago as he became the first black president of the United States,https://www.youtube.com/watch?v=jjXyqcx-mYY,1.0,236.2
unit_3,10,4,1,8,1,What is your age range?,19-25,1.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Conservative,1.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,129.31,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,99.39,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,9.0,123.58,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,329.1,1,4,mostly-true_doc2,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,Facebook Post,2020-20-03,Facebook Posts,4,mostly-true,3,half-true,Truck drivers are having issues getting meals at some fast-food chains with shuttered dining rooms. Their rigs can't fit in drive-thru lanes and they aren't allowed to walk up and order at the window,https://www.forbes.com/sites/jennysplitter/2020/03/18/covid-19-and-truck-driver-shortage-may-threaten-food-supply-chain/,2.0,82.57
unit_3,10,4,1,8,1,What is your age range?,19-25,1.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Conservative,1.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,129.31,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,99.39,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,9.0,123.58,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,329.1,1,5,false_doc3,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,Facebook Post,2020-23-03,Chain Message,1,false,1,false,There is no scientific evidence that lemon can treat or prevent the coronavirus. Health officials have debunked the claim. The video comes from a man who promotes alternative health information on YouTube,https://factcheck.afp.com/false-claims-drinking-water-lemon-can-prevent-covid-19-circulate-online,2.0,46.33
unit_3,10,4,1,8,1,What is your age range?,19-25,1.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Conservative,1.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,129.31,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,99.39,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,9.0,123.58,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,329.1,1,6,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0,pants-on-fire,1,false,"False statement: COVID-19 stands for Corona Virus Disease 2019.This is false, COVID-19 stands for âCorona Virus Disease 2019â, which is the infectious disease caused by the new coronavirus",https://www.snopes.com/fact-check/does-covid-stand-for/,1.0,122.38
unit_3,10,4,1,8,1,What is your age range?,19-25,1.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Conservative,1.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,129.31,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,3.0,99.39,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,9.0,123.58,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,329.1,1,7,mostly-false_doc8,Bill Gates and other globalists in collaboration with pharmaceutical companies are reportedly working to push tracking bracelets andinvisible tattoosâ to monitor Americans during an impending lockdown,Instagram Post,2020-18-03,Instagram Posts,2,mostly-false,4,mostly-true,The Bill & Melinda Gates Foundation funded research into invisible ink technology that could accompany vaccines to strengthen vaccination record-keeping in developing countries,https://www.eyeopeningtruth.com/bill-gates-covid-19-id2020-globalization/,1.0,60.76
unit_10,10,4,1,8,1,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Conservative,1.0,"In politics today, do you consider yourself a",Republican,0.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Disagree,1.0,31.73,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,16.87,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,9.0,26.09,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,16.0,9.66,1,0,mostly-true_doc1,Says a study projects Wisconsinâs coronavirus cases will peak on April 26 2020,Facebook Post,2020-29-03,Facebook Posts,4,mostly-true,4,mostly-true,"WISCONSIN â Coronavirus will peak in Wisconsin on or around April 26 of this year. That's according to new data from the Institute for Health Metrics and Evaluation (IHME).Over the weekend, the data initially projected the peak in Wisconsin would be May 22. The new data shows the state is making progress in the fight against COVID-19.",https://www.tmj4.com/news/coronavirus/coronavirus-will-not-peak-in-wisconsin-until-april-26-reports-say,1.0,393.25
unit_10,10,4,1,8,1,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Conservative,1.0,"In politics today, do you consider yourself a",Republican,0.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,Disagree,1.0,31.73,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,16.87,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,9.0,26.09,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,16.0,9.66,1,1,half-true_doc5,Harvard scientists say the coronavirus isspreading so fast that it will infect 70 of humanity this yearâ,Facebook Post,2020-10-03,Viral Image,3,half-true,4,mostly-true,"CBS News spoke to one of the country's top experts on viruses, Marc Lipsitch from Harvard University, who cautions that 40-70% of the world's population will become infected â and from that number, 1% of people who get symptoms from COVID-19, the disease caused by the coronavirus, could die.",https://www.cbsnews.com/news/coronavirus-infection-outbreak-worldwide-virus-expert-warning-today-2020-03-02/,1.0,199.03
