unit_id,doc_index,doc_name,doc_statement,doc_ground_truth_abc_label,doc_ground_truth_politifact_label,doc_source,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_overall-truthfulness_value,doc_confidence_value
unit_1,0,Liberal_In_Between_doc1,What the states do is a matter for the states The constitution provides that marriage is a responsibility of the Commonwealth parliament And as you know the Commonwealth parliament recently voted on this subject and by a fairly decisive margin decided to stick with the existing Marriage Act,in-between,,abc,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1,-1.0
unit_1,1,Labor_Negative_doc3,Mr Abbott seems to be suffering from just a little bit of amnesia Mr Rudd saidWhen he was health minister he cut 1 billion from the public hospitals budget of Australia,negative,,abc,2.0,-1.0,2.0,2.0,2.0,2.0,2.0,2,0.0
unit_1,2,Labor_Positive_doc1,Australia is one of only eight countries given a rating of AAA with a stable outlook from all three credit rating agenciesThese are the real facts and no amount of negative political spin will change that,positive,,abc,0.0,-1.0,2.0,2.0,-1.0,0.0,1.0,2,0.0
unit_1,4,REP_HALFTRUE_doc10,In the fall of 2009 only 21 percent of Texas high school graduates enrolled in a fouryear public university,,half-true,politifact,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0,-1.0
unit_1,5,REP_FALSE_doc10,Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan,,false,politifact,-2.0,-2.0,2.0,1.0,-1.0,-2.0,1.0,-1,-1.0
unit_1,6,DEM_LIE_doc10,Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions,,pants-on-fire,politifact,-2.0,-2.0,2.0,1.0,1.0,-2.0,1.0,-2,0.0
unit_1,7,DEM_MOSTLYTRUE_doc10,Says in his years as a Texas legislator we passed three pay increases for teachers and provided them with health insurance,,mostly-true,politifact,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0.0
unit_1,8,REP_TRUE_doc10,Says this months special session will cost the state 27300 a day just for legislators daily living expenses,,true,politifact,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0,-2.0
unit_1,9,DEM_BARELYTRUE_doc10,Youre paying forstate Sen Diane Allens health care and she took yours away,,barely-true,politifact,0.0,-1.0,2.0,2.0,0.0,0.0,2.0,0,-1.0
unit_3,0,REP_TRUE_doc10,Says this months special session will cost the state 27300 a day just for legislators daily living expenses,,true,politifact,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,1,0.0
unit_3,1,REP_HALFTRUE_doc10,In the fall of 2009 only 21 percent of Texas high school graduates enrolled in a fouryear public university,,half-true,politifact,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1,1.0
unit_3,2,DEM_BARELYTRUE_doc10,Youre paying forstate Sen Diane Allens health care and she took yours away,,barely-true,politifact,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,2,1.0
unit_3,4,DEM_LIE_doc10,Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions,,pants-on-fire,politifact,1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,0,0.0
unit_3,5,REP_FALSE_doc10,Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan,,false,politifact,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1,-1.0
unit_3,6,DEM_MOSTLYTRUE_doc10,Says in his years as a Texas legislator we passed three pay increases for teachers and provided them with health insurance,,mostly-true,politifact,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1,1.0
unit_3,8,Labor_Negative_doc3,Mr Abbott seems to be suffering from just a little bit of amnesia Mr Rudd saidWhen he was health minister he cut 1 billion from the public hospitals budget of Australia,negative,,abc,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,2,1.0
unit_3,9,Liberal_In_Between_doc1,What the states do is a matter for the states The constitution provides that marriage is a responsibility of the Commonwealth parliament And as you know the Commonwealth parliament recently voted on this subject and by a fairly decisive margin decided to stick with the existing Marriage Act,in-between,,abc,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1,-1.0
unit_3,10,Labor_Positive_doc1,Australia is one of only eight countries given a rating of AAA with a stable outlook from all three credit rating agenciesThese are the real facts and no amount of negative political spin will change that,positive,,abc,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,2,1.0
unit_5,0,REP_HALFTRUE_doc10,In the fall of 2009 only 21 percent of Texas high school graduates enrolled in a fouryear public university,,half-true,politifact,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2,1.0
unit_5,1,DEM_MOSTLYTRUE_doc10,Says in his years as a Texas legislator we passed three pay increases for teachers and provided them with health insurance,,mostly-true,politifact,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1,2.0
unit_5,2,DEM_LIE_doc10,Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions,,pants-on-fire,politifact,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2,2.0
unit_5,3,REP_FALSE_doc10,Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan,,false,politifact,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2,1.0
unit_5,5,REP_TRUE_doc10,Says this months special session will cost the state 27300 a day just for legislators daily living expenses,,true,politifact,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2,2.0
unit_5,6,DEM_BARELYTRUE_doc10,Youre paying forstate Sen Diane Allens health care and she took yours away,,barely-true,politifact,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2,2.0
unit_5,8,Liberal_In_Between_doc1,What the states do is a matter for the states The constitution provides that marriage is a responsibility of the Commonwealth parliament And as you know the Commonwealth parliament recently voted on this subject and by a fairly decisive margin decided to stick with the existing Marriage Act,in-between,,abc,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2,1.0
unit_5,9,Labor_Positive_doc1,Australia is one of only eight countries given a rating of AAA with a stable outlook from all three credit rating agenciesThese are the real facts and no amount of negative political spin will change that,positive,,abc,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2,2.0
unit_5,10,Labor_Negative_doc3,Mr Abbott seems to be suffering from just a little bit of amnesia Mr Rudd saidWhen he was health minister he cut 1 billion from the public hospitals budget of Australia,negative,,abc,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2,1.0
unit_7,0,DEM_BARELYTRUE_doc10,Youre paying forstate Sen Diane Allens health care and she took yours away,,barely-true,politifact,0.0,-1.0,2.0,0.0,-1.0,0.0,0.0,0,1.0
unit_7,1,REP_TRUE_doc10,Says this months special session will cost the state 27300 a day just for legislators daily living expenses,,true,politifact,-1.0,-2.0,2.0,2.0,-1.0,-2.0,-1.0,0,0.0
unit_7,2,REP_HALFTRUE_doc10,In the fall of 2009 only 21 percent of Texas high school graduates enrolled in a fouryear public university,,half-true,politifact,-1.0,-1.0,1.0,0.0,0.0,-2.0,0.0,0,0.0
unit_7,5,DEM_LIE_doc10,Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions,,pants-on-fire,politifact,-1.0,-2.0,1.0,-1.0,-1.0,-1.0,-1.0,-2,0.0
unit_7,6,REP_FALSE_doc10,Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan,,false,politifact,-2.0,-2.0,1.0,1.0,-1.0,-2.0,-2.0,-2,1.0
unit_7,7,DEM_MOSTLYTRUE_doc10,Says in his years as a Texas legislator we passed three pay increases for teachers and provided them with health insurance,,mostly-true,politifact,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,0,0.0
unit_7,8,Labor_Positive_doc1,Australia is one of only eight countries given a rating of AAA with a stable outlook from all three credit rating agenciesThese are the real facts and no amount of negative political spin will change that,positive,,abc,2.0,1.0,2.0,1.0,0.0,0.0,1.0,2,1.0
unit_7,9,Liberal_In_Between_doc1,What the states do is a matter for the states The constitution provides that marriage is a responsibility of the Commonwealth parliament And as you know the Commonwealth parliament recently voted on this subject and by a fairly decisive margin decided to stick with the existing Marriage Act,in-between,,abc,0.0,-2.0,1.0,0.0,-1.0,-1.0,0.0,0,0.0
unit_7,10,Labor_Negative_doc3,Mr Abbott seems to be suffering from just a little bit of amnesia Mr Rudd saidWhen he was health minister he cut 1 billion from the public hospitals budget of Australia,negative,,abc,0.0,-1.0,2.0,1.0,-1.0,0.0,0.0,0,-1.0
unit_9,0,REP_TRUE_doc10,Says this months special session will cost the state 27300 a day just for legislators daily living expenses,,true,politifact,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0,0.0
