unit_id,tries_amount,questionnaire_amount,dimensions_amount,document_amount,current_try,q_0_age_question,q_0_age_answer,q_0_age_value,q_0_school_question,q_0_school_answer,q_0_school_value,q_0_taxes_question,q_0_taxes_answer,q_0_taxes_value,q_0_political_views_question,q_0_political_views_answer,q_0_political_views_value,q_0_consideration_question,q_0_consideration_answer,q_0_consideration_value,q_0_southern_border_question,q_0_southern_border_answer,q_0_southern_border_value,q_0_environment_question,q_0_environment_answer,q_0_environment_value,q_0_time_elapsed,q_0_accesses,q_1_farmers_question,q_1_farmers_answer,q_1_farmers_value,q_1_time_elapsed,q_1_accesses,q_2_marks_question,q_2_marks_answer,q_2_marks_value,q_2_time_elapsed,q_2_accesses,q_3_athletics_question,q_3_athletics_answer,q_3_athletics_value,q_3_time_elapsed,q_3_accesses,doc_index,doc_name,doc_statement,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_value,doc_ground_truth_label,doc_truthfulness_value,doc_truthfulness_label,doc_truthfulness_justification,doc_truthfulness_url,doc_accesses,doc_time_elapsed
unit_0,10,4,1,8,1,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","50,000 to less than 75,000",5.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Disagree,1.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,39.4,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,91.96,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,10.0,35.24,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,32.13,1,0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0,pants-on-fire,5,true,"Truthfulness definition, telling the truth, especially habitually: a truthful person i.e someone that speaks the truth",https://www.dictionary.com/browse/truthfulness,1.0,239.13
unit_0,10,4,1,8,1,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","50,000 to less than 75,000",5.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Disagree,1.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,39.4,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,91.96,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,10.0,35.24,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,32.13,1,1,true_doc1,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,Facebook Post,2020-02-04,Facebook Posts,5,true,4,mostly-true,"Concerns about a dwindling supply of PPE are not new. Back on February 7, the World Health Organization sounded alarm bells about ""the limited stock of PPE,"" noting demand was 100 times higher than normal for this equipment.Yet the same day as the WHO warning, the Trump administration announced that it was transporting to China nearly 17.8 tons (more than 35,000 pounds) of ""masks, gowns, gauze, respirators, and other vital materials."" As Secretary of State Mike Pompeo noted in the press release announcing this shipment, ""These donations are a testament to the generosity of the American people.""",https://www.cnn.com/2020/03/29/opinions/coronavirus-personal-protective-equipment-obeidallah/index.html,1.0,131.5
unit_0,10,4,1,8,1,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","50,000 to less than 75,000",5.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Disagree,1.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,39.4,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,91.96,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,10.0,35.24,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,32.13,1,2,LOW,Injecting Bleach Could Be a Cure for COVID19,Donald Trump,2020-04-23,Press Conference,0,pants-on-fire,3,half-true,"Trump's comments apparently were alarming enough to prompt an advisory from Reckitt Benckiser, the British manufacturer of Lysol and Dettol cleaning products. I say ""apparently"" because the advisory does not mention Trump specifically, but it was first posted around noon London time, about 12 hours after the press briefing, which concluded close to midnight for the folks at Reckitt Benckiser. Here is what they said:Due to recent speculation and social media activity, RB (the makers of Lysol and Dettol) has been asked whether internal administration of disinfectants may be appropriate for investigation or use as a treatment for coronavirus (SARS-CoV-2).As a global leader in health and hygiene products, we must be clear that under no circumstance should our disinfectant products be administered into the human body (through injection, ingestion or any other route). As with all products, our disinfectant and hygiene products should only be used as intended and in line with usage guidelines. Please read the label and safety information.",https://reason.com/2020/04/24/its-not-fake-news-trump-did-actually-suggest-that-injecting-bleach-could-be-a-cure-for-covid-19/,1.0,101.45
unit_0,10,4,1,8,1,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","50,000 to less than 75,000",5.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Disagree,1.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,39.4,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,91.96,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,10.0,35.24,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,32.13,1,3,mostly-false_doc8,Bill Gates and other globalists in collaboration with pharmaceutical companies are reportedly working to push tracking bracelets andinvisible tattoosâ to monitor Americans during an impending lockdown,Instagram Post,2020-18-03,Instagram Posts,2,mostly-false,5,true,"Vaccines, for Bill Gates, are a strategic philanthropy that feed his many vaccine-related businesses (including Microsoftâs ambition to control a global vaccination ID enterprise) and give him dictatorial control of global health policy.Gatesâ obsession with vaccines seems to be fueled by a conviction to save the world with technology.Promising his share of $450 million of $1.2 billion to eradicate Polio, Gates took control of Indiaâs National Technical Advisory Group on Immunization (NTAGI) which mandated up to 50 doses (Table 1) of polio vaccines through overlapping immunization programs to children before the age of five.",https://orwell1984366490226.wordpress.com/2020/04/14/new-44/,1.0,97.99
unit_0,10,4,1,8,1,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","50,000 to less than 75,000",5.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Disagree,1.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,39.4,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,91.96,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,10.0,35.24,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,32.13,1,4,false_doc3,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,Facebook Post,2020-23-03,Chain Message,1,false,1,false,A text shared thousands of times on Facebook in various countries claims that drinking warm water with lemon protects against the novel coronavirus. The claim is false; experts told AFP that thereâs no proof this is effective in preventing the disease and that practising good hygiene is the best way to stay healthy. The posts also include several other false claims.,https://factcheck.afp.com/false-claims-drinking-water-lemon-can-prevent-covid-19-circulate-online,1.0,88.28
unit_0,10,4,1,8,1,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","50,000 to less than 75,000",5.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Disagree,1.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,39.4,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,91.96,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,10.0,35.24,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,32.13,1,5,HIGH,Yes We can,Barack Obama,2008-01-08,Facebook Post,5,true,5,true,"Obama's campaign used the slogan ""Change we can believe in"" and the chant ""Yes We Can"". The latter slogan is shared with the United Farm Workers and associated with its founder Dolores Huerta and is well known amongst Latinos in its Spanish form SÃ­ se puede. The ""Change we can believe in"" has been used in parodies both during and since the campaign. John McCain attempted to criticize Obama by enumerating various controversial policy positions he allegedly took and proclaiming ""that's not change we can believe in"" alongside a banner proclaiming McCain as ""a leader we can believe in"".[61] Since the campaign it has been used to parody campaigns against incumbents as being ""change you can't believe in"" such as by British blog LeftFootForward against David Cameron",https://en.wikipedia.org/wiki/Yes_We_Can,1.0,85.29
unit_0,10,4,1,8,1,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","50,000 to less than 75,000",5.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Disagree,1.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,39.4,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,91.96,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,10.0,35.24,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,32.13,1,6,half-true_doc2,North Carolinahospital beds are typically 85 full across the stateâ,Jeff Jackson,2020-19-03,Tweet,3,half-true,4,mostly-true,"Hospitals are preparing for an influx of patients as the novel coronavirus spreads across the U.S. With that in mind, North Carolina state Sen. Jeff Jackson urged his constituents to try to ease the pressure on hospitals. He said ""our hospital beds are typically 85% full across the state.""",http://www.wilm-tv.com/fact-check-before-coronavirus-were-nc-hospitals-typically-85-full/,1.0,84.88
unit_0,10,4,1,8,1,What is your age range?,36-50,3.0,What is the highest level of school you have completed or the highest degree you have received?,Four year college degree/bachelorâs degree,3.0,"Last year what was your total family income from all sources, before taxes?","50,000 to less than 75,000",5.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Democrat,1.0,Should the U.S. build a wall along the southern border?,Disagree,1.0,Should the government increase environmental regulations to prevent climate change?,Agree,0.0,39.4,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,91.96,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,10.0,35.24,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,4.0,32.13,1,7,mostly-true_doc2,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,Facebook Post,2020-20-03,Facebook Posts,4,mostly-true,3,half-true,"Grocery store shoppers continue to pack their carts in response to the coronavirus pandemic, forcing chains like Harris Teeter and Walmart to set earlier closing times to restock their shelves. Food industry executives assure the public there is no food shortage, but that doesnât mean the coronavirus poses no threat to the food system. As the pandemic persists, labor shortages in transportation and other areas of the food industry could soon prove to be a problem.First, the good news. Andrew Novakovic, agricultural economist at Cornell University, agrees with the many food industry experts and government officials who say there is plenty of food. âThis isnât a supply chain disruption,â Novakovic says of the current pandemic. Though the U.S. food system is frequently criticized for being too big and too monolithic, its size and expediency, including crop surpluses, mean the U.S. has plenty of food available for the long haul.",https://www.forbes.com/sites/jennysplitter/2020/03/18/covid-19-and-truck-driver-shortage-may-threaten-food-supply-chain/,1.0,151.47
unit_1,10,4,1,8,1,What is your age range?,26-35,2.0,What is the highest level of school you have completed or the highest degree you have received?,High school graduate or GED (includes technical/vocational training that doesnât towards college credit),1.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Independent,2.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,No opinion either way,2.0,32.38,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,26.26,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,10.0,6.64,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,5.0,15.74,1,0,mostly-false_doc8,Bill Gates and other globalists in collaboration with pharmaceutical companies are reportedly working to push tracking bracelets andinvisible tattoosâ to monitor Americans during an impending lockdown,Instagram Post,2020-18-03,Instagram Posts,2,mostly-false,2,mostly-false,"One pilot project associated with ID2020 is MyPass, which is an effort to provide digital identification to the homeless population of Austin, Texas. Though ID2020 is not funding MyPass, the City of Austinâs Innovation office is an ID2020 partner, and ID2020 staff âdid participate in a workshop with the city in June 2019,â according to an ID2020 spokesperson. The project, still in its infancy, seeks to create an online, cloud-based repository of identification and medical documents. Early versions of the pilot study would likely use some combination of a QR code card given to participating individuals, but future work could involve biometrics like fingerprints or IRIS scans. Importantly, the participants in the study volunteered to be in it, can opt out at any time, and did not and will not have anything injected into them. Another project, currently active in Bangladesh and Tanzania, seeks to test the viability of tying infant fingerprints to digital identities.These projects are small pilot studies with limited relevance to the current COVID-19 pandemic, and none of them involves injecting anything into anyone, let alone something that would contain the functionality that would enable any sort of active tracking or surveillance. Still, conspiracy theorists have pushed the above facts into an unfounded but paranoid narrative.",https://www.snopes.com/fact-check/bill-gates-id2020/,1.0,445.76
unit_1,10,4,1,8,1,What is your age range?,26-35,2.0,What is the highest level of school you have completed or the highest degree you have received?,High school graduate or GED (includes technical/vocational training that doesnât towards college credit),1.0,"Last year what was your total family income from all sources, before taxes?","75,000 to less than 100,000",6.0,"In general, would you describe your political views as",Moderate,2.0,"In politics today, do you consider yourself a",Independent,2.0,Should the U.S. build a wall along the southern border?,Agree,0.0,Should the government increase environmental regulations to prevent climate change?,No opinion either way,2.0,32.38,1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",,9.0,26.26,1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,,10.0,6.64,1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",,5.0,15.74,1,1,false_doc3,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,Facebook Post,2020-23-03,Chain Message,1,false,0,pants-on-fire,"Lemon and hot water used as a vitamin C therapy will not âkillâ or âslow the spreadâ of COVID-19, nor would it provide a clinically significant amount of vitamin C to begin with. A buffered solution of hot lemon juice and sodium bicarbonate, similarly, will do nothing to change the pH of either your body or your immune system. For these reasons both lemon-related âcuresâ are rated âFalse.â",https://www.snopes.com/fact-check/lemons-coronavirus/,1.0,106.71
